age,age_o,d_age,samerace,importance_same_race,importance_same_religion,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_o,sinsere_o,intelligence_o,funny_o,ambitous_o,shared_interests_o,attractive_important,sincere_important,intellicence_important,funny_important,ambtition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,expected_num_matches,like,guess_prob_liked,met,decision,decision_o,match,gender_female,gender_male,race_asian/pacific islander/asian-american,race_black/african american,race_european/caucasian-american,race_latino/hispanic american,race_other,race_nan,race_o_asian/pacific islander/asian-american,race_o_black/african american,race_o_european/caucasian-american,race_o_latino/hispanic american,race_o_other,race_o_nan,field_business_&_finance,field_creative_arts,field_education,field_engineering_&_technology,field_healthcare,field_humanities,field_law_&_public policy,field_mathematics_&_statistics,field_natural_&_physical_sciences,field_other,field_social_sciences
24,27,3,0,4,5,20,20,15,15,12,18,6,8,8,6,6,7,20,10,30,15,15,10,8,8,6,8,7,7,8,9,8,9,8,4,1,8,8,8,10,7,3,1,10,3,6,6,6,9,4,2,0.35,6,1,7,7,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,27,0,0,2,2,30,30,30,5,0,5,6,5,5,5,5,6,30,15,15,30,0,10,7,7,8,6,4,4,8,7,5,5,6,4,2,9,6,3,3,3,2,7,2,6,2,2,4,7,8,4,-0.22,3,1,7,7,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
38,23,15,1,4,6,25,14,25,25,3,8,6,5,7,5,5,6,15,15,20,15,15,20,6,9,6,8,9,9,9,9,6,8,5,4,4,6,7,8,8,7,2,2,6,7,7,9,6,6,3,5,0.04,5,1,8,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,26,1,0,3,1,10,20,20,22,6,22,6,7,7,6,7,6,10,20,20,10,20,20,8,8,8,8,8,6,7,8,7,8,7,8,3,7,5,5,4,3,1,5,10,9,7,7,7,7,9,2,-0.36,7,4,7,8,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
25,30,5,0,1,3,20,10,22,20,15,13,8,6,6,6,6,6,10,25,25,20,10,10,8,10,10,8,9,5,7,7,9,9,10,10,6,7,9,9,8,9,1,7,8,1,10,10,10,10,5,9,0.36,4,12,8,10,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,32,3,1,1,2,30,10,30,20,10,0,7,8,8,6,8,7,10,20,20,20,20,10,9,10,9,9,9,4,8,9,7,8,6,7,2,8,10,9,9,9,2,9,10,4,10,10,8,10,6,9,0.12,5,3,7,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,25,3,0,3,7,20,10,30,20,10,10,2,7,8,5,9,6,16,25,20,12,12,15,6,9,6,9,9,8,8,8,7,7,6,7,8,8,8,7,6,5,2,7,5,5,6,7,5,7,2,2,-0.23,6,2,7,6,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,21,0,1,3,1,15,15,25,25,20,0,7,8,8,6,6,3,40,15,10,20,10,5,8,7,7,8,7,7,7,7,7,8,6,8,7,7,6,4,4,8,7,3,5,3,4,8,10,10,2,2,-0.31,5,7,6,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,30,4,0,1,1,31.58,10.53,15.79,21.05,10.53,10.53,6,7,7,7,7,6,20,10,25,25,10,10,8,7,8,8,7,6,7,7,7,7,6,6,2,7,10,4,5,2,4,9,9,6,5,8,4,5,7,3,0.13,5,2,6,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,26,25,0,1,1,20,18.37,20,18,10,10.64,9,9,8,6,8,5,10,20,20,20,10,20,7,9,6,8,3,7,6,7,8,6,7,5,7,7,7,8,7,7,6,6,7,8,9,9,8,8,8,6,0.21,8,2,7,6,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
32,25,7,0,5,6,20,20,20,15,15,10,4,3,5,7,3,2,20,20,20,15,15,10,7,7,7,8,9,7,7,7,5,4,4,7,5,6,7,5,6,7,7,6,5,6,7,7,6,5,5,6,-0.08,6,4,6,7,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,27,4,0,2,6,30,25,10,20,0,15,9,6,6,6,6,6,15,15,18,18,14,20,7,9,9,9,8,7,8,10,8,10,7,6,7,7,8,9,9,8,5,6,9,7,10,10,10,10,5,6,0.35,5,5,7,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
28,29,1,0,1,1,16,18,18,18,14,16,7,9,8,6,7,2,9.76,19.51,19.51,14.63,19.51,17.07,7,7,6,7,6,5,6,6,6,6,6,8,5,7,7,7,6,6,5,7,10,6,7,9,7,7,8,5,0.3,6,4,5,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,30,8,0,4,1,25,20,20,20,0,15,2,7,7,3,6,1,10,25,25,10,10,20,6,10,9,7,5,5,5,5,4,5,5,7,4,6,10,8,8,8,6,5,5,5,8,8,8,8,4,4,0.2,5,4,5,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
30,26,4,0,1,1,30,5,10,20,30,5,7,8,8,7,6,7,20.51,14.53,24.79,17.09,5.98,17.09,7,7,9,8,8,6,7,7,7,7,6,8,2,1,9,6,6,6,4,7,6,4,6,6,6,6,7,2,0.48,9,7,6,5,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,26,4,0,1,1,20,10,20,30,10,10,10,10,10,10,10,10,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.03,7,3,8,4,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
28,27,1,0,1,1,30,30,30,5,0,5,5,5,5,5,5,5,15,30,30,10,10,5,7,8,8,8,8,3,9,10,5,10,10,2,2,2,10,10,10,7,1,6,6,4,9,8,8,7,5,5,0.27,4,5,8,10,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,23,3,1,7,7,20,20,20,20,20,0,10,10,10,10,10,10,70,5,20,3,1,1,7,10,6,8,7,7,7,7,9,8,6,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,0.42,3,8,7,8,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,27,3,1,10,2,30,15,20,25,5,5,7,7,6,8,6,5,50,20,10,5,10,5,6,10,8,8,8,7,6,8,6,7,8,9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,0.07,7,2,5,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
24,24,0,0,2,7,15.38,17.31,17.31,19.23,13.46,17.31,9,8,8,9,8,9,19.57,19.57,15.22,17.39,15.22,13.04,7,10,9,9,10,7,7,8,8,6,4,7,5,7,7,3,2,6,8,7,9,6,3,6,7,8,4,5,0.02,4,2,7,7,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,24,1,0,2,2,10,15,30,20,15,10,6,7,7,4,7,6,40,30,0,20,0,10,8,9,9,9,8,2,3,7,6,5,5,10,10,7,8,3,5,4,3,8,3,10,5,10,10,9,9,3,0.25,7,1,3,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,27,1,1,7,7,25,20,10,20,15,10,6,6,6,7,9,6,70,5,20,3,1,1,7,10,6,8,7,6,8,8,7,7,6,7,4,7,7,6,6,6,1,8,7,1,7,7,6,7,1,1,0.24,3,8,6.5,8,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,32,5,1,2,5,15,5,45,10,15,10,9,6,9,3,6,2,20,20,20,15,5,20,7,8,6,8,5,6,8,8,5,3,3,4,4,2,4,7,5,8,1,2,6,2,6,8,7,5,3,9,0.41,2,3,5,3,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,27,1,0,3,3,25,15,20,20,15,5,8,7,7,6,6,5,20,20,25,20,5,10,7,9,7,8,4,5,3,6,7,10,3,6,5,5,8,10,10,9,4,9,10,1,9,10,10,10,1,8,0.16,6,3,7,6,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,29,1,0,1,1,30,20,20,20,10,0,6,7,7,7,7,6,15,20,20,20,5,10,8,9,7,9,7,6,7,7,7,7,6,2,1,9,9,6,8,4,1,2,9,3,10,8,4,4,3,9,0.32,3,3,6,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,28,3,0,5,1,25,15,25,15,10,10,6,7,7,5,5,3,15,30,20,20,10,5,10,10,6,10,10,5,10,10,5,10,5,10,10,6,6,10,10,10,6,6,6,10,10,10,8,10,1,6,-0.12,7,2,5,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
22,29,7,1,1,1,50,7,20,23,0,0,8,8,8,8,8,7,15,20,20,20,5,20,7,9,9,9,4,7,7,7,7,7,6,2,2,1,4,7,7,2,1,6,4,7,5,10,10,10,2,2,-0.07,6,3,7,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,29,2,0,9,7,20,20,20,10,10,20,7,8,9,7,7,9,30,15,15,20,5,15,7,8,8,9,8,6,9,8,4,4,4,9,10,8,9,9,9,7,4,2,9,6,8,6,7,7,4,2,0.4,5,3,3,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,26,9,0,1,5,40,5,20,10,10,15,8,8,8,8,8,8,10,32,20,12,11,15,5,9,9,5,5,7,8,8,8,8,8,5,1,3,5,7,8,3,1,6,8,3,7,8,7,8,4,7,0,6,0,7,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29,33,4,0,1,1,20,20,20,15,15,10,4,5,7,3,7,2,25,20,15,25,10,5,6,8,7,10,9,6,7,7,6,7,4,10,2,6,9,6,6,9,7,4,3,3,5,8,4,4,6,9,-0.14,6,1,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,23,4,0,3,1,20,20,20,20,20,0,6,5,6,5,6,5,40,0,10,50,0,0,10,8,10,10,10,8,7,7,7,4,5,10,7,7,3,3,3,3,3,3,4,5,3,6,10,10,1,7,-0.23,6,7,8,10,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,27,3,1,3,3,10,20,20,15,20,15,5,8,8,7,8,6,25,15,25,25,15,15,7,9,8,9,9,5,7,8,7,8,8,9,1,8,7,8,8,10,6,7,8,1,7,3,8,1,6,8,0.54,7,3,8,6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,31,1,1,4,7,12,20,20,20,14,14,9,8,8,7,8,6,16.67,12.5,20.83,18.75,12.5,18.75,8,6,7,9,2,8,10,9,8,8,7,3,1,6,6,7,7,2,1,1,10,8,8,8,5,5,2,2,0.1,6,3,8,7,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,24,4,1,3,7,30,20,20,10,15,5,7,8,9,6,9,7,23,18,21,18,10,10,7,10,9,9,9,9,8,9,6,6,7,6,9,7,10,8,7,6,6,8,9,6,9,9,8,8,6,4,0.06,6,3,8,7,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
25,32,7,1,8,8,17.24,17.24,17.24,17.24,13.79,17.24,6,6,7,6,6,5,15.38,17.31,17.31,17.31,17.31,15.38,7,8,9,9,8,4,7,8,7,7,6,8,8,8,8,7,7,7,8,7,7,7,7,7,7,7,7,6,0.02,2,1,5,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,32,6,0,5,2,50,0,10,30,0,10,3,6,5,6,5,4,10,10,30,20,10,15,3,6,9,7,10,5,7,9,9,9,4,2,1,3,10,10,7,6,5,10,8,4,10,8,6,8,4,10,0.2,6,2,7,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,26,4,0,1,1,25,25,25,13,12,0,4,10,9,5,7,2,20,20,10,15,5,30,3,9,9,9,7,5,7,5,4,6,3,7,10,5,6,3,8,6,7,6,3,5,8,10,9,10,6,3,0.32,8,6,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,26,1,0,4,4,20,18.37,20,18,10,10.64,5,8,9,5,8,6,35,10,20,15,10,10,8,9,9,10,8,6,8,8,7,8,5,10,10,3,8,5,3,4,3,10,5,6,8,10,7,10,6,2,0.21,5,5,7,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,25,1,1,8,1,13.21,18.87,18.87,16.98,16.98,15.09,8,10,10,8,10,6,21.28,17.02,21.28,12.77,6.38,21.28,7,10,7,10,10,7,7,7,5,7,5,1,2,8,7,8,8,10,1,2,10,4,8,6,10,10,1,7,0.65,3,3,7,7,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,27,0,1,3,2,20,15,25,15,20,5,7,7,7,6,7,6,25,15,20,20,20,0,8,9,8,9,10,9,9,9,8,8,7,2,2,2,10,8,8,7,8,9,8,1,9,8,8,9,4,2,0.56,5,1,9,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,25,1,1,7,3,15,18,19,19,17,12,7,2,8,8,5,7,24,16,28,14,8,10,7,6,7,10,8,10,10,10,10,10,10,6,2,8,9,8,9,2,3,6,9,1,4,7,6,7,2,2,0.72,4,9,10,10,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,25,5,0,8,8,15,20,25,20,10,10,8,6,7,7,7,4,40,10,20,10,0,20,10,10,10,10,10,9,7,7,8,4,6,10,8,4,10,3,2,2,5,1,9,6,4,6,7,10,4,1,-0.36,7,5,9,9,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,30,4,0,4,6,30,0,30,30,10,0,10,10,10,8,8,2,16,18,18,20,12,16,8,9,10,8,7,7,7,9,9,8,8,7,1,8,9,9,9,3,1,6,10,3,3,4,4,4,5,7,0.54,4,6,6,5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
28,32,4,0,4,6,30,30,30,5,0,5,4,4,5,4,9,4,20,20,15,15,5,25,7,9,8,8,7,8,6,7,6,8,6,4,3,8,7,7,9,8,2,3,7,5,7,9,7,8,3,6,0.61,6,3,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
30,32,2,1,5,7,20,20,20,20,10,10,9,10,8,10,8,6,10,18,20,16,16,20,7,10,8,8,8,6,8,7,9,7,6,7,8,8,5,7,5,3,1,2,10,7,10,10,8,8,5,8,0.21,6,2,6,6,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,23,5,0,7,1,16,16,19,17,14,18,7,7,7,6,6,6,20,18,20,17,10,15,8,10,8,10,10,7,10,8,4,5,4,10,5,8,8,7,5,10,7,9,7,4,7,9,5,10,1,1,0.41,6,6,5,4,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
26,25,1,0,1,1,30,0,30,30,10,0,10,9,9,9,7,8,30,10,20,20,10,10,9,9,9,9,9,6,8,8,7,7,8,8,5,7,8,6,6,7,7,7,7,3,2,9,7,9,9,2,0.21,5,5,7,7,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,34,34,0,3,3,15,15,10,25,10,25,7,7,7,8,6,5,20,18.18,20,18,10,10.64,7,8,8,8,8,4,6,5,3,4,4,7,4,6,8,7,7,6,3,6,8,6,7,8,7,8,6,4,0.21,6,3,4,6,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,29,1,1,1,5,45,10,10,30,0,5,6,6,7,4,7,6,35,0,35,10,10,10,8,9,9,9,7,7,6,6,6,6,4,8,1,6,8,6,7,9,1,9,9,1,3,5,5,5,4,2,0.26,4,1,6,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,23,1,1,3,2,20,20,20,20,20,0,7,10,10,4,10,4,20,21,21,22,6,10,7,7,7,10,9,7,8,8,9,8,9,9,8,8,6,7,7,6,2,6,7,5,7,8,4,7,5,1,0.53,6,7,8,8,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,28,5,1,5,2,15.91,20.45,20.45,20.45,11.36,11.36,8,8,8,8,7,9,16,16,16,18,18,16,7,8,8,9,9,4,7,8,5,7,4,10,7,9,6,6,6,4,3,7,7,5,4,7,9,8,7,4,0.32,5,3,4,8,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,28,2,1,1,1,15,30,30,10,10,5,8,7,8,7,9,10,40,12,18,12,6,12,9,8,7,10,7,6,8,8,8,6,6,9,6,8,8,5,3,9,5,9,10,5,4,10,8,9,5,1,-0.08,5,3,6,6,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,28,3,0,6,8,20,20,15,15,5,25,8,8,8,7,8,6,15,3,50,20,2,10,6,7,7,9,8,6,7,8,8,8,6,4,2,5,7,7,5,7,3,5,7,7,10,8,8,7,6,2,0.61,5,3,7,3,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,27,3,1,10,2,14,18,17,16,15,20,9,8,9,9,9,8,50,20,10,5,10,5,6,10,8,8,8,9,8,7,8,8,9,9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,0.53,7,2,9,7,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,21,2,1,8,10,19,24,21,23,5,8,9,9,9,9,9,8.5,15,15,20,15,15,20,9,9,9,9,9,8,10,8,9,8,8,10,5,10,8,7,7,8,4,9,9,6,7,10,9,10,7,9,0.72,4,3,8,8,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,24,2,1,4,5,25,15,25,25,15,15,7,6,7,6,7,5,20,22,18,15,15,10,6,9,8,7,8,8,6,7,3,7,2,8,9,7,7,7,6,2,2,7,7,7,5,7,6,8,9,5,-0.41,7,3,6,4,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,25,4,1,9,6,25,20,25,20,10,0,5,4,3,7,4,3,10,20,40,10,10,10,5,8,6,7,8,5,7,6,6,6,7,2,2,3,9,7,6,6,7,7,10,9,10,10,10,10,10,3,0.22,5,3,8,6,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,32,7,0,10,7,5,25,20,10,15,25,8,8,8,6,8,5,30,10,15,20,15,10,6,10,8,9,10,5,9,7,5,9,4,4,1,4,10,5,6,7,7,3,3,9,7,9,5,6,9,5,0.48,5,1,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,27,3,1,10,2,30,20,15,15,8,12,2,4,4,2,5,2,50,20,10,5,10,5,6,10,8,8,8,9,6,7,7,7,7,9,1,7,8,7,7,7,1,9,9,2,9,9,9,9,9,2,0.15,7,2,8,7,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
27,28,1,0,7,4,17.78,20,17.78,15.56,15.56,13.33,9,9,9,7,9,6,15.09,16.98,16.98,18.87,18.87,13.21,8,9,9,9,8,8,8,8,5,5,2,7,4,6,9,9,9,5,2,1,10,10,9,9,5,7,9,7,0.08,5,3,6,3,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,22,1,0,2,1,20,5,25,25,5,20,8,8,8,8,5,7,20,25,25,30,5,5,6,9,8,8,7,6,9,6,5,7,7,4,2,5,8,6,7,5,5,9,9,8,8,8,6,8,9,4,0.62,2,2,7,7,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,26,3,0,1,1,16,18,18,20,12,16,7,9,9,8,8,7,15,20,20,20,5,20,5,10,7,10,8,10,10,10,10,10,10,3,3,3,9,5,1,1,1,8,8,8,8,8,8,8,8,3,0.11,5,4,10,10,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
